204	4512+1225	0	111062	1	974865at2759_635003_1:00056f|JAACPG010002601_1|+|459|2.056e-130|2|4512|5736|4512[4512]:4832[4832]:321[321]|4975[4993]:5736[5736]:762[744]
205	854+2460	0	233374	1	369837at2759_556484_1:001366|JAACPG010002633_1|+|745|1.654e-216|1|854|3313|854[854]:3313[3313]:2460[2460]
222	1351+3082	0	204974	1	679187at2759_556484_1:0017ea|JAACPG010003256_1|+|664|3.999e-192|2|1351|4432|1351[1351]:3969[3969]:2619[2619]|4094[4094]:4432[4432]:339[339]
225	4617-774	0	42253	-1	39650at2759_36646_1:000574|JAACPG010000449_1|-|52|6.797e-08|1|3844|4617|4617[4617]:3844[3844]:774[774]
239	3+1080	0	76725	1	687505at2759_1169540_1:0043ff|JAACPG010002767_1|+|91|1.236e-19|1|3|1082|3[3]:1082[1082]:1080[1080]
243	3827+255	0	147160	1	1538526at2759_423536_1:004c25|JAACPG010000897_1|+|45|8.7e-06|1|3827|4081|3827[3827]:4081[4081]:255[255]
244	427+105	0	88877	1	858842at2759_296543_1:0005f3|JAACPG010000929_1|+|46|4.35e-06|1|427|531|427[427]:531[531]:105[105]
248	303+297	0	15056	1	1312453at2759_47790_0:003198|JAACPG010001057_1|+|40|0.0002784|1|303|599|303[303]:599[599]:297[297]
255	877+495	0	72907	1	1312453at2759_5949_1:0015a8|JAACPG010002205_1|+|80|2.532e-16|1|877|1371|877[877]:1371[1371]:495[495]
258	1162-1050	0	63723	-1	1450538at2759_635003_1:000b99|JAACPG010001910_1|-|308|5.87e-85|1|113|1162|1162[1162]:113[113]:1050[1050]
260	1711+978	0	276922	1	674169at2759_150288_0:004ad5|JAACPG010001973_1|+|44|1.74e-05|1|1711|2688|1711[1711]:2688[2688]:978[978]
264	3893+738	0	42253	1	39650at2759_36646_1:000574|JAACPG010002858_1|+|92|6.182e-20|1|3893|4630|3893[3893]:4630[4630]:738[738]
265	1834+225	0	33620	1	1079827at2759_43151_0:00269f|JAACPG010002890_1|+|145|6.863e-36|1|1834|2058|1834[1834]:2058[2058]:225[225]
286	1974+381	0	218489	1	1370304at2759_112090_1:00297d|JAACPG010000246_1|+|59|5.31e-10|1|1974|2354|1974[1974]:2354[2354]:381[381]
286	778+1646	0	300408	1	1370304at2759_635003_1:00285a|JAACPG010000246_1|+|382|3.108e-107|2|778|2423|778[778]:1869[1869]:1092[1092]|1968[1983]:2423[2423]:456[441]
295	4604+177	0	253075	1	142542at2759_635003_1:0037e3|JAACPG010000276_1|+|44|1.74e-05|1|4604|4780|4604[4604]:4780[4780]:177[177]
298	7780-249	0	295907	-1	1545004at2759_1519565_1:004ca5|JAACPG010002047_1|-|127|1.799e-30|1|7532|7780|7780[7780]:7532[7532]:249[249]
324	2934+414	0	289567	1	768809at2759_46433_1:007484|JAACPG010003225_1|+|46|4.35e-06|1|2934|3347|2934[2934]:3347[3347]:414[414]
327	0+1374	0	100832	1	1370285at2759_556484_1:000c06|JAACPG010000418_1|+|308|5.87e-85|1|0|1373|0[0]:1373[1373]:1374[1374]
344	4888+570	0	172433	1	1488235at2759_1380566_1:00268c|JAACPG010000834_1|+|179|3.995e-46|1|4888|5457|4888[4888]:5457[5457]:570[570]
358	2860-225	0	33620	-1	1079827at2759_43151_0:00269f|JAACPG010002206_1|-|80|2.532e-16|1|2636|2860|2860[2860]:2636[2636]:225[225]
371	1734-876	0	277426	-1	1314980at2759_192259_0:0012f7|JAACPG010001686_1|-|97|1.932e-21|1|859|1734|1734[1734]:859[859]:876[876]
387	2602-879	0	25468	-1	83779at2759_58331_0:0065aa|JAACPG010000183_1|-|218|7.267e-58|1|1724|2602|2602[2602]:1724[1724]:879[879]
393	0+912	0	289856	1	570797at2759_50452_0:0024c0|JAACPG010001757_1|+|154|1.34e-38|1|0|911|0[0]:911[911]:912[912]
402	5615-368	0	25833	-1	543764at2759_6334_0:00368a|JAACPG010002079_1|-|99|4.83e-22|2|5248|5615|5615[5615]:5451[5451]:165[165]|5343[5334]:5248[5248]:96[87]
406	2721-1011	0	297889	-1	1014314at2759_36911_1:000dab|JAACPG010002346_1|-|46|4.35e-06|1|1711|2721|2721[2721]:1711[1711]:1011[1011]
407	1128-1035	0	25087	-1	1260807at2759_556484_1:0005ac|JAACPG010002378_1|-|453|1.316e-128|1|94|1128|1128[1128]:94[94]:1035[1035]
411	2433-966	0	42253	-1	39650at2759_36646_1:000574|JAACPG010002635_1|-|154|1.34e-38|1|1468|2433|2433[2433]:1468[1468]:966[966]
