4802	1543-573	0	156234	-1	801857at2759|QAXB01043523_1|-|46|3.615e-06|1|971|1543|1543[1543]:971[971]:573[573]
4813	1012+591	0	78519	1	1588798at2759|QAXB01043875_1|+|39|0.0004627|1|1012|1602|1012[1012]:1602[1602]:591[591]
4840	2958+204	0	3973	1	1079827at2759|QAXB01044739_1|+|48|9.037e-07|1|2958|3161|2958[2958]:3161[3161]:204[204]
4841	338+681	0	164167	1	905026at2759|QAXB01044771_1|+|50|2.259e-07|1|338|1018|338[338]:1018[1018]:681[681]
4954	1057-201	0	47030	-1	858842at2759|QAXB01048387_1|-|52|5.648e-08|1|857|1057|1057[1057]:857[857]:201[201]
4966	762-582	0	11910	-1	1530008at2759|QAXB01048771_1|-|89|4.11e-19|1|181|762|762[762]:181[181]:582[582]
4973	0+552	0	7864	1	671536at2759|QAXB01048995_1|+|155|5.569e-39|1|0|551|0[0]:551[551]:552[552]
5009	3145-897	0	111628	-1	39650at2759|QAXB01050147_1|-|144|1.141e-35|1|2249|3145|3145[3145]:2249[2249]:897[897]
5016	874+1539	0	42772	1	664730at2759|QAXB01050371_1|+|127|1.495e-30|1|874|2412|874[874]:2412[2412]:1539[1539]
5030	1037-207	0	28418	-1	931188at2759|QAXB01050819_1|-|63|2.758e-11|1|831|1037|1037[1037]:831[831]:207[207]
5030	1621-309	0	175169	-1	931188at2759|QAXB01050819_1|-|108|7.838e-25|1|1313|1621|1621[1621]:1313[1313]:309[309]
5046	1170-1097	0	84655	-1	1364586at2759|QAXB01051331_1|-|124|1.196e-29|2|74|1170|1170[1170]:607[607]:564[564]|349[349]:74[74]:276[276]
5052	2897-2892	0	46594	-1	1450538at2759|QAXB01051523_1|-|581|3.214e-167|1|6|2897|2897[2897]:6[6]:2892[2892]
5061	1858-132	0	17825	-1	1264469at2759|QAXB01051811_1|-|45|7.23e-06|1|1727|1858|1858[1858]:1727[1727]:132[132]
5108	908-411	0	193361	-1	598949at2759|QAXB01053315_1|-|74|1.347e-14|1|498|908|908[908]:498[498]:411[411]
5136	2301-874	0	30719	-1	1428265at2759|QAXB01054211_1|-|399|1.97e-112|2|1428|2301|2301[2301]:2161[2161]:141[141]|2066[2066]:1428[1428]:639[639]
5147	883-766	0	111628	-1	39650at2759|QAXB01054563_1|-|136|2.92e-33|2|118|883|883[883]:716[716]:168[168]|588[588]:118[118]:471[471]
5156	17131-396	0	171169	-1	1575179at2759|QAXB01054851_1|-|50|2.259e-07|1|16736|17131|17131[17131]:16736[16736]:396[396]
5444	43+2073	0	132302	1	142542at2759|QAXB01008996_1|+|201|7.915e-53|3|43|2115|43[43]:426[426]:384[384]|519[519]:707[707]:189[189]|1042[1042]:2115[2115]:1074[1074]
