Mutant,Replicate,Thiamine,Time,OD
WT,2,0,"426,33","0,817"
WT,3,0,0,"0,093"
WT,3,0,42,"0,141"
WT,3,0,66,"0,194"
WT,3,0,90,"0,336"
WT,3,0,"114,25","0,375"
WT,3,0,"138,75","0,387"
WT,3,0,"162,33","0,529"
WT,3,0,187,"0,581"
WT,3,0,"210,33","0,593"
WT,3,0,234,"0,663"
WT,3,0,"258,5","0,688"
WT,3,0,282,"0,717"
WT,3,0,306,"0,74"
WT,3,0,"330,33","0,782"
WT,3,0,"354,5","0,786"
WT,3,0,378,"0,776"
WT,3,0,"401,66","0,779"
WT,3,0,"426,33","0,807"
WT,1,1,0,"0,097"
WT,1,1,42,"0,136"
WT,1,1,66,"0,201"
WT,1,1,90,"0,328"
WT,1,1,"114,25","0,404"
WT,1,1,"138,75","0,457"
WT,1,1,"162,33","0,534"
WT,1,1,187,"0,576"
WT,1,1,"210,33","0,622"
WT,1,1,234,"0,655"
WT,1,1,"258,5","0,667"
WT,1,1,282,"0,696"
WT,1,1,306,"0,746"
WT,1,1,"330,33","0,765"
WT,1,1,"354,5","0,768"
WT,1,1,378,"0,794"
WT,1,1,"401,66","0,785"
WT,1,1,"426,33","0,808"
WT,2,1,0,"0,097"
WT,2,1,42,"0,138"
WT,2,1,66,"0,192"
WT,2,1,90,"0,319"
WT,2,1,"114,25","0,357"
WT,2,1,"138,75","0,43"
WT,2,1,"162,33","0,502"
WT,2,1,187,"0,582"
WT,2,1,"210,33","0,621"
WT,2,1,234,"0,64"
WT,2,1,"258,5","0,671"
WT,2,1,282,"0,738"
WT,2,1,306,"0,787"
WT,2,1,"330,33","0,766"
WT,2,1,"354,5","0,763"
WT,2,1,378,NA
WT,2,1,"401,66","0,836"
WT,2,1,"426,33","0,84"
WT,3,1,0,"0,096"
WT,3,1,42,"0,132"
WT,3,1,66,"0,209"
WT,3,1,90,"0,322"
WT,3,1,"114,25","0,371"
WT,3,1,"138,75","0,434"
WT,3,1,"162,33","0,509"
WT,3,1,187,"0,562"
WT,3,1,"210,33","0,628"
WT,3,1,234,"0,664"
WT,3,1,"258,5","0,703"
WT,3,1,282,"0,705"
WT,3,1,306,"0,717"
WT,3,1,"330,33","0,766"
WT,3,1,"354,5","0,814"
WT,3,1,378,"0,82"
WT,3,1,"401,66","0,811"
WT,3,1,"426,33","0,859"
Blank,1,0,0,"0,083"
Blank,1,0,42,"0,082"
Blank,1,0,66,"0,081"
Blank,1,0,90,"0,08"
Blank,1,0,"114,25","0,078"
Blank,1,0,"138,75","0,079"
Blank,1,0,"162,33","0,08"
Blank,1,0,187,"0,082"
Blank,1,0,"210,33","0,079"
Blank,1,0,234,"0,079"
Blank,1,0,"258,5","0,083"
Blank,1,0,282,"0,078"
Blank,1,0,306,"0,088"
Blank,1,0,"330,33","0,092"
Blank,1,0,"354,5","0,097"
Blank,1,0,378,"0,078"
Blank,1,0,"401,66","0,08"
Blank,1,0,"426,33","0,078"
Blank,1,1,0,"0,081"
Blank,1,1,42,"0,08"
Blank,1,1,66,"0,079"
Blank,1,1,90,"0,076"
Blank,1,1,"114,25","0,076"
Blank,1,1,"138,75","0,078"
Blank,1,1,"162,33","0,081"
Blank,1,1,187,"0,081"
Blank,1,1,"210,33","0,08"
Blank,1,1,234,"0,08"
Blank,1,1,"258,5","0,081"
Blank,1,1,282,"0,081"
Blank,1,1,306,"0,08"
Blank,1,1,"330,33","0,082"
Blank,1,1,"354,5","0,081"
Blank,1,1,378,"0,076"
Blank,1,1,"401,66","0,077"
Blank,1,1,"426,33","0,078"
